name,path,size,file_or_dir,parent
hwtask2.py,C:\PythonHomeWork_T\Homework1,1191,FILE,C:\PythonHomeWork_T\Homework1
main.py,C:\PythonHomeWork_T\Homework1,74,FILE,C:\PythonHomeWork_T\Homework1
task6.py,C:\PythonHomeWork_T\Homework1,1240,FILE,C:\PythonHomeWork_T\Homework1
task8.py,C:\PythonHomeWork_T\Homework1,301,FILE,C:\PythonHomeWork_T\Homework1
task9.py,C:\PythonHomeWork_T\Homework1,436,FILE,C:\PythonHomeWork_T\Homework1
hwtask1.cpython-38.pyc,C:\PythonHomeWork_T\Homework1\__pycache__,997,FILE,C:\PythonHomeWork_T\Homework1\__pycache__
hwtask2.cpython-38.pyc,C:\PythonHomeWork_T\Homework1\__pycache__,826,FILE,C:\PythonHomeWork_T\Homework1\__pycache__
task6.cpython-38.pyc,C:\PythonHomeWork_T\Homework1\__pycache__,712,FILE,C:\PythonHomeWork_T\Homework1\__pycache__
task8.cpython-38.pyc,C:\PythonHomeWork_T\Homework1\__pycache__,317,FILE,C:\PythonHomeWork_T\Homework1\__pycache__
task9.cpython-38.pyc,C:\PythonHomeWork_T\Homework1\__pycache__,416,FILE,C:\PythonHomeWork_T\Homework1\__pycache__
__pycache__,C:\PythonHomeWork_T\Homework2,73728,DIR,C:\PythonHomeWork_T\Homework2
hwtask1.py,C:\PythonHomeWork_T\Homework2,1287,FILE,C:\PythonHomeWork_T\Homework2
hwtask2.py,C:\PythonHomeWork_T\Homework2,1825,FILE,C:\PythonHomeWork_T\Homework2
main.py,C:\PythonHomeWork_T\Homework2,44,FILE,C:\PythonHomeWork_T\Homework2
task6.py,C:\PythonHomeWork_T\Homework2,4530,FILE,C:\PythonHomeWork_T\Homework2
hwtask1.cpython-38.pyc,C:\PythonHomeWork_T\Homework2\__pycache__,1013,FILE,C:\PythonHomeWork_T\Homework2\__pycache__
hwtask2.cpython-38.pyc,C:\PythonHomeWork_T\Homework2\__pycache__,1254,FILE,C:\PythonHomeWork_T\Homework2\__pycache__
task6.cpython-38.pyc,C:\PythonHomeWork_T\Homework2\__pycache__,3058,FILE,C:\PythonHomeWork_T\Homework2\__pycache__
hwtask1.py,C:\PythonHomeWork_T\Homework3,710,FILE,C:\PythonHomeWork_T\Homework3
hwtask2.py,C:\PythonHomeWork_T\Homework3,3328,FILE,C:\PythonHomeWork_T\Homework3
hwtask3.py,C:\PythonHomeWork_T\Homework3,1360,FILE,C:\PythonHomeWork_T\Homework3
task7.py,C:\PythonHomeWork_T\Homework3,1044,FILE,C:\PythonHomeWork_T\Homework3
task8.py,C:\PythonHomeWork_T\Homework3,2776,FILE,C:\PythonHomeWork_T\Homework3
hwtask1.py,C:\PythonHomeWork_T\Homework4,896,FILE,C:\PythonHomeWork_T\Homework4
hwtask2.py,C:\PythonHomeWork_T\Homework4,426,FILE,C:\PythonHomeWork_T\Homework4
hwtask3.py,C:\PythonHomeWork_T\Homework4,4337,FILE,C:\PythonHomeWork_T\Homework4
task8.py,C:\PythonHomeWork_T\Homework4,435,FILE,C:\PythonHomeWork_T\Homework4
hwtask1.py,C:\PythonHomeWork_T\Homework5,682,FILE,C:\PythonHomeWork_T\Homework5
hwtask2.py,C:\PythonHomeWork_T\Homework5,427,FILE,C:\PythonHomeWork_T\Homework5
hwtask3.py,C:\PythonHomeWork_T\Homework5,530,FILE,C:\PythonHomeWork_T\Homework5
file1.py,C:\PythonHomeWork_T\Homework6,114,FILE,C:\PythonHomeWork_T\Homework6
